OBJECTID,Name,Label,Category1,Category2,Category3,Organization,Address Line 1,Address Line 2,City,State,ZIP Code,Source,Source ID,Source Date,Display,Last Update,x,y
88,Dockweiler State Beach,Dockweiler State Beach,Arts and Recreation,Campgrounds,,Los Angeles County Department of Beaches and Harbors,12001 Vista Del Mar,,Playa Del Rey,CA,90293,LA County Department of Beaches and Harbors,,7/18/2017,Y,,6429574.55936572,1797450.24559931
89,Arthur Letts Campsite,Arthur Letts Campsite,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Tonner Cyn Rd,,,,92823,HSIP Freedom Campgrounds,,11/1/2010,Y,,6614942.68764447,1808442.23312972
90,Woodland Camp,Woodland Camp,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,9400 Siphon Rd,,,,90660,HSIP Freedom Campgrounds,,11/1/2010,Y,,6545211.70768413,1831533.22927047
91,West Fork Campground,West Fork Campground,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Anf Road 2N24,,,,91024,HSIP Freedom Campgrounds,,11/1/2010,Y,,6546698.70175739,1911899.2174883
92,Valley Forge Trail Camp,Valley Forge Trail Camp,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Anf Road 2N24,,,,91024,HSIP Freedom Campgrounds,,7/22/2013,Y,,6539280.15786748,1914515.66041814
93,Monte Cristo Campground,Monte Cristo Campground,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Angeles Forest Hwy,,,,93550,HSIP Freedom Campgrounds,,11/1/2010,Y,,6528678.69744314,1947047.21346514
94,Upper Fish Fork Trail Camp,Upper Fish Fork Trail Camp,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Off Anf 3N08,,,,92397,HSIP Freedom Campgrounds,,11/1/2010,Y,,6661206.67976198,1935340.22309965
95,Lower Fish Fork Campground,Lower Fish Fork Campground,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Off Anf 3N08,,,,92397,HSIP Freedom Campgrounds,,11/1/2010,Y,,6659653.68253988,1933778.22359897
96,Lupine Campground,Lupine Campground,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Off Blue Ridge Fire Rd,,,,92397,HSIP Freedom Campgrounds,,11/1/2010,Y,,6661813.68543772,1942205.22150873
97,Camp Big Pines,Camp Big Pines,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Big Pines Hwy,,,,93563,HSIP Freedom Campgrounds,,11/1/2010,Y,,6641864.66759305,1966455.21828423
98,Camp Centinela Valley,Camp Centinela Valley,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Big Pines Hwy,,,,93563,HSIP Freedom Campgrounds,,11/1/2010,Y,,6652723.68885396,1962334.21865223
99,Crystal Lake Campground,Crystal Lake Campground,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Crystal Lake Rd,,,,93563,HSIP Freedom Campgrounds,,11/1/2010,Y,,6611677.67383331,1941409.21817948
100,Ymca Hut,Ymca Hut,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Crystal Lake Rd,,,,93563,HSIP Freedom Campgrounds,,11/1/2010,Y,,6611581.68747672,1939816.21808465
101,Fenner Cyn State Camp,Fenner Cyn State Camp,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Big Rock Creek Rd,,,,93563,HSIP Freedom Campgrounds,,11/1/2010,Y,,6630244.68427138,1964412.21843323
102,Buckhorn Campground,Buckhorn Campground,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Angeles Crest Hwy,,,,93553,HSIP Freedom Campgrounds,,11/1/2010,Y,,6587848.67785622,1948299.21686664
103,County Camp,County Camp,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,East Fork Rd,,,,91702,HSIP Freedom Campgrounds,,11/1/2010,Y,,6622874.66817155,1907195.22394356
104,County Camp Rockey,County Camp Rockey,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,1900 N Sycamore Cyn Rd,,,,91773,HSIP Freedom Campgrounds,,11/1/2010,Y,,6623726.69796355,1871405.22629797
105,Big Dalton Camp,Big Dalton Camp,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Big Dalton Rd,,,,91741,HSIP Freedom Campgrounds,,11/1/2010,Y,,6614438.69291756,1880929.22463839
106,County Camp Paige,County Camp Paige,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,6601 N Stephens Ranch Rd,,,,91750,HSIP Freedom Campgrounds,,11/1/2010,Y,,6639002.69070546,1878101.22832589
107,County Camp Afflerbaugh,County Camp Afflerbaugh,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,6631 N Stephens Ranch Rd,,,,91750,HSIP Freedom Campgrounds,,11/1/2010,Y,,6639637.6749998,1878162.22689156
108,Roads End Campground,Roads End Campground,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Big Tujunga Cyn Rd,,,,91042,HSIP Freedom Campgrounds,,11/1/2010,Y,,6496934.70482889,1922838.21463914
109,Idlehour Trail Camp,Idlehour Trail Camp,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Anf 12W16,,,,91001,HSIP Freedom Campgrounds,,11/1/2010,Y,,6536307.6946523,1898100.21949582
110,Henninger Flats Campground,Henninger Flats Campground,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Mt Wilson Toll Rd (2N45),,,,91001,HSIP Freedom Campgrounds,,11/1/2010,Y,,6534578.68793972,1892538.22077732
111,Mt Pacifico Campground,Mt Pacifico Campground,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Off Anf 3N17,,,,93550,HSIP Freedom Campgrounds,,11/1/2010,Y,,6551443.70178181,1961614.2148429
