OBJECTID,City,ZIP Code,LICENSED_CERTIFIED,FLAG,T18_19,FACID,FAC_STATUS_TYPE_CODE,ASPEN_FACID,CCN,TERMINAT_SW,PARTICIPATION_DATE,APPROVAL_DATE,NPI,CAN_BE_DEEMED_FAC_TYPE,CAN_BE_CERTIFIED_FAC_TYPE,DEEMED,AO_CD,DMG_EFCTV_DT,AO_TRMNTN_DT,AO_NAME,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,PARENT_FACID,FAC_FAC_RELATIONSHIP_TYPE_CODE,START_DATE,LICENSE_NUMBER,BUSINESS_NAME,LICENSE_STATUS_DESCRIPTION,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,HCAI_ID,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR,TYPE_OF_CARE,CRITICAL_ACCESS_HOSPITAL,DATA_DATE,x,y
122506,TORRANCE,90502,LICENSED AND CERTIFIED,,,060000027,OPEN,CA060000027,050376,,1966-07-01T00:00:00,2020-05-15T00:00:00,1487865184,Y,Y,1,1,2023-04-15T00:00:00,,JC,LAC/HARBOR UCLA MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,415,1000 W CARSON ST,2004,"TURNER, ANDREA",JREES@DHS.LACOUNTY.GOV,(310) 328-9624,(424) 306-6580,200,LOS ANGELES,6,ORANGE,Y,,PARENT,,60000129,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,ACTIVE,1953-07-01T00:00:00,2024-07-29T00:00:00,2025-04-30T00:00:00,COUNTY,33.830325,-118.2920175,"(-118.2920175,33.830325)",106191227,19,LOS ANGELES,6037,YES,LEVEL II PED,LEVEL I,,,2025-03-17T00:00:00,6472976.51029131,1760762.32684931
122507,DOWNEY,90242,LICENSED AND CERTIFIED,,,060000028,OPEN,CA060000028,050717,,1997-07-01T00:00:00,,1336156363,Y,Y,0,1,2022-11-11T00:00:00,11/11/2025,JC,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,158,7601 IMPERIAL HWY,3456,"WILKS, KONITA",CMARTINEZ@DHS.LACOUNTY.GOV,,(562) 385-7842,200,LOS ANGELES,6,ORANGE,Y,,PARENT,,60000161,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,ACTIVE,1953-07-01T00:00:00,2024-12-19T00:00:00,2025-03-30T00:00:00,COUNTY,33.9291,-118.1579985,"(-118.1579985,33.9291)",106191306,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6513736.5744403,1796617.77876031
122508,LOS ANGELES,90059,LICENSED AND CERTIFIED,,,060000035,OPEN,CA06000035,050779,,2015-06-30T00:00:00,2023-06-24T00:00:00,1114367497,Y,Y,1,1,2024-09-14T00:00:00,,JC,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,131,1680 EAST 120TH STREET,3019,"BATCHLOR, ELAINE E",EDELEON@MLKCH.ORG,,(909) 374-3979,200,LOS ANGELES,6,ORANGE,Y,,PARENT,,60000132,MARTIN LUTHER KING JR HEALTHCARE CORPORATION,ACTIVE,,2025-03-01T00:00:00,2026-02-28T00:00:00,NONPROFIT CORP,33.924186,-118.244151,"(-118.244151,33.924186)",106191230,19,LOS ANGELES,6037,YES,,,,,2025-03-17T00:00:00,6487597.23203406,1794881.74909589
122509,SYLMAR,91342,LICENSED AND CERTIFIED,,,060000038,OPEN,CA060000038,050040,,1972-03-15T00:00:00,2018-02-21T00:00:00,1285845982,Y,Y,0,1,2023-06-10T00:00:00,06/10/2026,JC,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,303,14445 OLIVE VIEW DR,1437,"SOLIS, EDGAR",KNUNN@DHS.LACOUNTY.GOV,,(747) 210-3854,200,LOS ANGELES,6,ORANGE,Y,,PARENT,,60000133,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,ACTIVE,1959-11-20T00:00:00,2025-01-08T00:00:00,2025-05-07T00:00:00,COUNTY,34.326981,-118.4517,"(-118.4517,34.326981)",106191231,19,LOS ANGELES,6037,YES,,,,,2025-03-17T00:00:00,6425290.99148931,1941683.06802548
122510,LOS ANGELES,90033,LICENSED AND CERTIFIED,,,060000040,OPEN,CA060000040,050373,,1966-07-01T00:00:00,2024-01-23T00:00:00,1093728743,Y,Y,1,1,2023-03-04T00:00:00,,JC,LOS ANGELES GENERAL MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,600,"2051 MARENGO ST, ROOM C2K100",1352,"OROZCO, JORGE",DAMAYA@DHS.LACOUNTY.GOV,(323) 409-8032,(323) 409-3501,200,LOS ANGELES,6,ORANGE,Y,,PARENT,,60000130,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,ACTIVE,1953-07-01T00:00:00,2024-07-10T00:00:00,2025-03-31T00:00:00,COUNTY,34.05627769,-118.2064778,"(-118.2064778,34.056277689)",106191228,19,LOS ANGELES,6037,YES,LEVEL II PED,LEVEL I,,,2025-03-17T00:00:00,6499125.08627489,1842926.95057748
122772,WEST HOLLYWOOD,90048,CERTIFIED ONLY,,,630011539,OPEN,CA630011542,059801,,2008-01-14T00:00:00,2023-09-18T00:00:00,,N,Y,0,,,,,CEDAR SINAI MEDICAL CENTER,TRANS,GENERAL ACUTE CARE HOSPITAL,NON-LTC,0,8700 BEVERLY BLVD,1804,,,,(310) 423-3277,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,,,,,,,,34.076538,-118.3800015,"(-118.3800015,34.076538)",,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6446593.28254606,1850453.34858239
122859,LOS ANGELES,90027,LICENSED AND CERTIFIED,,,630012611,OPEN,CATH00027,059813,,2010-04-30T00:00:00,2017-07-24T00:00:00,,N,Y,0,,,,,CHILDREN'S HOSPITAL OF LOS ANGELES,TRANS,GENERAL ACUTE CARE HOSPITAL,NON-LTC,0,4650 W SUNSET BLVD,6062,,,,,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,N,930000034,OTHER CERTIFIABLE PART,10-Feb-10,930000032,CHILDREN'S HOSPITAL LOS ANGELES,ACTIVE,1946-01-01T00:00:00,2025-01-01T00:00:00,2025-12-31T00:00:00,NONPROFIT CORP,34.097868,-118.290636,"(-118.290636,34.097868)",,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6473677.6132198,1858125.43002298
125520,TORRANCE,90502,LICENSED AND CERTIFIED,USE PARENT MATCH,,630027486,OPEN,CA060000027,050376,,1966-07-01T00:00:00,2020-05-15T00:00:00,1487865184,Y,Y,1,1,2023-04-15T00:00:00,,JC,LAC/HARBOR UCLA MEDICAL CENTER,TRANS,GENERAL ACUTE CARE HOSPITAL,NON-LTC,0,1000 W CARSON ST,2004,,,,,200,LOS ANGELES,6,ORANGE,N,060000027,OTHER CERTIFIABLE PART,05-Jun-19,60000129,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,ACTIVE,1953-07-01T00:00:00,2024-07-29T00:00:00,2025-04-30T00:00:00,COUNTY,33.830266,-118.292063,"(-118.292063,33.830266001)",,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6472962.62875739,1760740.89546172
125721,LOS ANGELES,90015,LICENSED AND CERTIFIED,,,930000002,OPEN,CA930000002,050149,,1966-07-01T00:00:00,2023-07-22T00:00:00,1114081056,Y,Y,1,1,2023-04-15T00:00:00,,JC,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,392,1401 S GRAND AVE,3010,"MORAN, ALINA",ALINA.MORAN@COMMONSPIRIT.ORG,(213) 765-4078,(213) 748-2411,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000024,DIGNITY COMMUNITY CARE,ACTIVE,1946-01-01T00:00:00,2025-01-01T00:00:00,2025-12-31T00:00:00,NONPROFIT CORP,34.03746,-118.2658005,"(-118.2658005,34.03746)",106190125,19,LOS ANGELES,6037,YES,,LEVEL II,,,2025-03-17T00:00:00,6481138.32533246,1836121.06163023
125722,LOS ANGELES,90048,LICENSED AND CERTIFIED,,,930000004,OPEN,CA930000004,050625,,1976-04-01T00:00:00,2023-09-07T00:00:00,1639172372,Y,Y,1,1,2023-06-24T00:00:00,,JC,CEDARS-SINAI MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,915,8700 BEVERLY BOULEVARD,1804,"SLAVIN, PETER",CHRISTINE.TUCHMAYER@CSHS.ORG,,(310) 423-4298,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000110,CEDARS-SINAI MEDICAL CENTER,ACTIVE,1955-08-15T00:00:00,2024-11-06T00:00:00,2025-11-05T00:00:00,NONPROFIT CORP,34.076538,-118.3800015,"(-118.3800015,34.076538)",106190555,19,LOS ANGELES,6037,YES,LEVEL II PED,LEVEL I,,,2025-03-17T00:00:00,6446593.28254606,1850453.34858239
125723,ALHAMBRA,91801,LICENSED AND CERTIFIED,,,930000005,OPEN,CA93000000005,050281,,1966-07-01T00:00:00,2018-02-23T00:00:00,1588793574,Y,Y,1,1,2017-08-22T00:00:00,,JC,ALHAMBRA HOSPITAL MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,118,100 S RAYMOND AVE,3166,"KU, EVELYN",INFO@ALHAMBRAHOSPITAL.COM,(626) 656-6049,(626) 458-4770,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000005,"ALHAMBRA HOSPITAL MEDICAL CENTER, L.P.",ACTIVE,1946-01-01T00:00:00,2024-11-28T00:00:00,2025-11-27T00:00:00,PARTNERSHIP,34.090488,-118.144098,"(-118.144098,34.090488)",106190017,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6518037.59470963,1855343.77482514
