OBJECTID,Name,Label,Category2,Category1,Category3,Organization,Address Line 1,Address Line 2,City,State,ZIP Code,Source,Source ID,Source Date,Display,Last Update,x,y
4983,Uncashed Checks,Uncashed Checks,County Offices,Municipal Services,,LA County,500 W. Temple St.,Rm. 502,Los Angeles,CA,90012,Current Services Locator,3030313,2020-07-14 23:13:55,Y,,6487307.69849239,1843269.2248273
4984,County Employees Retirement Services,County Employees Retirement Services,County Offices,Municipal Services,,LA County,300 N. Lake Ave.,,Pasadena,CA,91101,Current Services Locator,3031118,2020-07-14 23:21:21,Y,,6521860.68319206,1877318.22168981
4985,Missing Persons,Missing Persons,County Offices,Municipal Services,,LA County,5747 Rickenbacker Rd.,,Commerce,CA,90040,Current Services Locator,3031425,2020-07-14 23:21:30,Y,,6513224.71260314,1818774.22657332
4986,Housing Inspection Program Headquarters,Housing Inspection Program Headquarters,County Offices,Municipal Services,,LA County,Headquarters,5050 Commerce Dr.,Baldwin Park,CA,91706,Current Services Locator,3032517,2020-07-14 23:13:55,Y,,6569421.70027456,1859883.2273604
4987,"Claims: Damage, To Person Or Property, Against The County","Claims: Damage, To Person Or Property, Against The County",County Offices,Municipal Services,,LA County,500 W. Temple St.,Rm. 383,Los Angeles,CA,90012,Current Services Locator,3033007,2020-07-14 23:21:21,Y,,6487307.69849239,1843269.2248273
4988,Immunizations,Immunizations,County Offices,Municipal Services,,LA County,3530 Wilshire Blvd.,7Th Flr,Los Angeles,CA,90010,Current Services Locator,3037601,2020-07-14 23:14:37,Y,,6470442.7141778,1844727.22387981
4989,Treasurer-Tax Collector Main Office,Treasurer-Tax Collector Main Office,County Offices,Municipal Services,,LA County,500 W. Temple St.,Rm. 462,Los Angeles,CA,90012,Current Services Locator,3039248,2020-07-14 23:21:31,Y,,6487307.69849239,1843269.2248273
4990,Service Planning Areas 3 And 4,Service Planning Areas 3 And 4,County Offices,Municipal Services,,LA County,241 N. Figueroa St.,Room 312,Los Angeles,CA,90012,Current Services Locator,3044725,2020-07-14 23:21:31,Y,,6485866.71121688,1844026.22495373
4991,Commission On Disability Main Office,Commission On Disability Main Office,County Offices,Municipal Services,,LA County,Kenneth Hahn Hall Of Administration,500 W. Temple St.,Los Angeles,CA,90012,Current Services Locator,3044875,2020-07-14 23:21:21,Y,,6487307.69849239,1843269.2248273
4992,Civil Service Commission Main Office,Civil Service Commission Main Office,County Offices,Municipal Services,,LA County,Kenneth Hahn Hall Of Administration,500 W. Temple St.,Los Angeles,CA,90012,Current Services Locator,3047490,2020-07-14 23:13:54,Y,,6487307.69849239,1843269.2248273
4993,County Procurement & Contracts,County Procurement & Contracts,County Offices,Municipal Services,,LA County,1100 N. Eastern Ave.,,Los Angeles,CA,90063,Current Services Locator,3055601,2020-07-14 23:14:37,Y,,6509017.6960828,1840561.22565015
