OBJECTID,Name,Label,Category2,Category1,Category3,Organization,Address Line 1,Address Line 2,City,State,ZIP Code,Source,Source ID,Source Date,Display,Last Update,x,y
5656,Natural Arch (historical),Natural Arch (historical),Arch,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,1669886,2/4/2009,Y,,6387049.39900939,1837235.64863989
5657,Shifting Sands,Shifting Sands,Area,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,249403,1/19/1981,Y,,6379974.34426188,1465032.04101448
5658,Achois Comihavit,Achois Comihavit,Area,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,1657699,1/1/1995,Y,,6422112.47816131,1922273.2482494
5659,Airport Dunes,Airport Dunes,Area,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,1702750,12/2/1996,Y,,6428979.91324531,1803361.09171723
5660,Paseo De Los Pobladores,Paseo De Los Pobladores,Area,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,1744906,6/24/1997,Y,,6486955.54565339,1842891.99231406
5661,Bit Rock,Bit Rock,Bar,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,239361,1/19/1981,Y,,6436927.7123103,1748435.1293909
5662,Flat Rock,Flat Rock,Bar,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,242293,1/19/1981,Y,,6437012.52414855,1748535.87492432
5663,White Rock,White Rock,Bar,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,251484,1/19/1981,Y,,6426454.27197114,1419089.8195789
5664,Eagle Reef,Eagle Reef,Bar,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,253308,12/1/1991,Y,,6407621.06816781,1626951.66304073
5665,Harbor Reef,Harbor Reef,Bar,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,253317,12/1/1991,Y,,6412597.33052497,1622175.44719948
5666,Ship Rock,Ship Rock,Bar,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,254239,1/19/1981,Y,,6411689.33234097,1627133.69023573
5667,Farnsworth Bank,Farnsworth Bank,Bar,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,1667307,3/27/2015,Y,,6403585.75274764,1583802.63090065
5668,Devils Punchbowl,Devils Punchbowl,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,241473,1/3/2017,Y,,6606237.09875648,1975360.14929323
5669,Hansen Spreading Grounds,Hansen Spreading Grounds,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,243184,1/19/1981,Y,,6442387.5006033,1913695.34906664
5670,Lost Valley,Lost Valley,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,245224,4/6/2021,Y,,6464210.43727231,2043214.56771798
5671,Necktie Basin,Necktie Basin,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,246449,1/19/1981,Y,,6384781.32513347,2039430.0119669
5672,Pacoima Spreading Grounds,Pacoima Spreading Grounds,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,247093,1/19/1981,Y,,6426364.41585164,1915986.46259464
5673,Schoolhouse Debris Basin,Schoolhouse Debris Basin,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,249208,1/19/1981,Y,,6423290.53814113,1941373.77763356
5674,The Potholes,The Potholes,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,250406,1/19/1981,Y,,6409667.86033405,2067600.59210856
5675,Wilson Debris Basin,Wilson Debris Basin,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,251681,1/19/1981,Y,,6426987.82011664,1942974.57725348
5676,Basin One,Basin One,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,253274,12/1/1991,Y,,6440634.24656388,1767930.86533372
5677,Basin Two,Basin Two,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,253275,12/1/1991,Y,,6441305.02245331,1766917.30141598
5678,Juniper Bowl,Juniper Bowl,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,271841,1/19/1981,Y,,6580760.7022028,1990698.95522973
5679,Yerba Santa Amphitheater,Yerba Santa Amphitheater,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,276778,10/1/1992,Y,,6611320.80938955,1940290.20237289
5680,Sepulveda Flood Control Basin,Sepulveda Flood Control Basin,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,1655151,1/19/1981,Y,,6409108.5553503,1889582.75096647
5681,Blanchard Debris Basin,Blanchard Debris Basin,Basin,Physical Features,,USGS,,,,CA,,https://www.usgs.gov/u.s.-board-on-geographic-names/download-gnis-data,1732209,5/14/1997,Y,,6479828.91259697,1914683.37235306
