OBJECTID,Name,Label,Category2,Category1,Category3,Organization,Address Line 1,Address Line 2,City,State,ZIP Code,Source,Source ID,Source Date,Display,Last Update,x,y
8663,Avalon Fire Department,Avalon Fire Department,Fire Stations,Public Safety,,HIFLD,420 Avalon Canyon Road,,Avalon,CA,90704,U.S. Geological Survey,b414f166-6883-4537-aeae-3152b990fc09,2018-07-19 20:17:43,Y,,6461170.07393047,1582152.59909573
8664,Los Angeles County Fire Department Station 155,Los Angeles County Fire Department Station 155,Fire Stations,Public Safety,,HIFLD,1 Banning House Road,,Two Harbors,CA,90704,U.S. Geological Survey,{00839135-9AEA-4215-A974-79A27E1DDE89},2017-07-11 19:53:07,Y,,6408989.97783156,1619386.54923397
8665,Los Angeles County Fire Department Station 55,Los Angeles County Fire Department Station 55,Fire Stations,Public Safety,,HIFLD,945 Avalon Canyon Road,,Avalon,CA,90704,U.S. Geological Survey,{874A7F0C-158D-4456-86A4-B18EB9038C27},2017-07-05 21:27:31,Y,,6459187.78130713,1579833.6083269
8666,City of Los Angeles Fire Department Station 56,City of Los Angeles Fire Department Station 56,Fire Stations,Public Safety,,HIFLD,2759 Rowena Avenue,,Los Angeles,CA,90039,U.S. Geological Survey,411fe03d-aa99-48ee-bb06-3e0f4619eb8c,2016-08-12 13:19:58,Y,,6481796.3095808,1861662.90884039
8667,Los Angeles County Fire Department Station 182,Los Angeles County Fire Department Station 182,Fire Stations,Public Safety,,HIFLD,1059 North White Avenue,,Pomona,CA,91768,U.S. Geological Survey,{9BEFFFCD-3F8B-4325-8959-B9D310E2EB79},2011-03-03 18:02:46,Y,,6634490.51928364,1847100.09446214
8668,Los Angeles County Fire Department Station 183,Los Angeles County Fire Department Station 183,Fire Stations,Public Safety,,HIFLD,708 North San Antonio Avenue,,Pomona,CA,91767,U.S. Geological Survey,{DA867E3C-ECD3-4D79-B5E3-93CBCBB5BD6F},2011-03-03 18:02:46,Y,,6641531.50651397,1846349.72457181
8669,Pasadena Fire Department Station 31,Pasadena Fire Department Station 31,Fire Stations,Public Safety,,HIFLD,135 South Fair Oaks Avenue,,Pasadena,CA,91105,U.S. Geological Survey,{909857E8-3C97-4595-AC74-2AB8B9FBC706},2017-08-11 17:08:30,Y,,6516063.15541705,1874522.21350232
8670,Long Beach Fire Department Station 18,Long Beach Fire Department Station 18,Fire Stations,Public Safety,,HIFLD,3361 Palo Verde Avenue,,Long Beach,CA,90808,U.S. Geological Survey,{EBF93BC6-7AC0-466F-A7B8-E2A2FAB91D0A},2016-03-04 07:52:20,Y,,6528799.1348663,1756242.71777831
8671,Hermosa Beach Fire Department,Hermosa Beach Fire Department,Fire Stations,Public Safety,,HIFLD,540 Pier Avenue,,Hermosa Beach,CA,90254,U.S. Geological Survey,e534da15-9440-4365-80e2-c2fed51fac90,2016-08-12 13:19:58,Y,,6441468.41353072,1773190.91780573
8672,City of Los Angeles Fire Department Station 84,City of Los Angeles Fire Department Station 84,Fire Stations,Public Safety,,HIFLD,21050 Burbank Boulevard,,Woodland Hills,CA,91367,U.S. Geological Survey,{6969A767-027D-4B35-8679-6010D69E4733},2011-03-03 18:02:46,Y,,6382764.53979696,1885842.10063939
