X,Y,OBJECTID,Name,Address,City,State,Zipcode,Lat,Lon,GlobalID
-118.244108500007,33.9424671001766,1,Alice Manor Senior Housing,10325 Grandee Ave,Los Angeles,CA,90002,33.9424671,-118.2441085,24f082df-6458-4915-bfdf-b6c7f019da1a
-118.467527600219,34.2180012996203,2,Andalucia Senior Apartments,15305 Lanark St.,Van Nuys,CA,91406,34.2180013,-118.4675276,f73fb08f-37ff-4a72-8dd7-3b7f3b26a08c
-118.249605900092,34.0518361003558,3,Angelus Plaza Senior Housing,255 S. Hill St,Los Angeles,CA,90012,34.0518361,-118.2496059,81935a25-6698-487a-9eff-b0c00a9818ea
-118.449696400269,34.2454615002481,4,Asturias Senior Apartments,9628 Van Nuys Blvd,Panorama City,CA,91402,34.2454615,-118.4496964,6af1ef5b-1fc8-4c6c-ab9c-165cad32712e
-118.26555599981,33.937820000093,5,Avalon Place,10803 Avalon Blvd.,Los Angeles,CA,90061,33.93782,-118.265556,2c73267b-f8bf-4225-b0ee-91fe3b86a960
-118.295905400214,33.7399641002631,6,Bayside Terrace,860 W. 5th Street,San Pedro,CA,90731,33.7399641,-118.2959054,15e90f19-5573-4d1b-ad02-deb99038b76f
-118.312752599753,34.1030772995778,7,Bethany Towers,1745 Gramercy Pl,Los Angeles,CA,90028,34.1030773,-118.3127526,1bfe002a-69f1-4a60-b251-3fc084d95b79
-118.276849099706,33.9503615001831,8,Broadway Villas,9413 S. Spring Street,Los Angeles,CA,90003,33.9503615,-118.2768491,210f9c0b-6bd7-48eb-a485-da30e53bf1a3
-118.342106000092,34.0137390000548,9,Buckingham Senior Apartment,4020 Buckingham Rd,Los Angeles,CA,90008,34.013739,-118.342106,dbbd58fe-432b-46ed-9ca0-822d5a8d6fc7
-118.449003700161,34.2453801997365,11,Cantabria Senior Apartments,9640 Van Nuys Blvd.,Panorama City,CA,91402,34.2453802,-118.4490037,9d2f2294-a91a-44ec-b7d9-3f3c4ba090d2
-118.446659500336,34.2837461002024,12,Casa Garcia,499 S. Kalisher St.,San Fernando,CA,91340,34.2837461,-118.4466595,749338f7-653c-487d-bd51-abc193a20e18
-118.166668199678,34.0198062996211,13,Casa Lucerna,1025 S Kern Ave,Los Angeles,CA,90022,34.0198063,-118.1666682,97c79572-ecd3-4a7d-8c40-602ab7435347
-118.449640400384,34.2335765996804,14,Casa Panorama,14555 Osborne St,Panarama City,CA,91402,34.2335766,-118.4496404,abbbc010-7e38-4fcc-91c4-1eb627b89ba7
-118.384432999583,34.0555710001016,15,Clark Terrace,1156 S. Clark Drive,Los Angeles,CA,90035,34.055571,-118.384433,e8ce705f-ba5a-451d-9fa9-2ab3e6ba3329
-118.368036999808,34.0250439997808,16,Clemson/Corbett Senior Apartments,5643 Corbett St,Los Angeles,CA,90016,34.025044,-118.368037,b918c3a9-8d9a-42fa-bfee-9fd2ca9965ac
-118.220412199563,34.141506200251,17,Colorado Terrace Senior Apts.,2455 Colorado Blvd,Eagle Rock,CA,90041,34.1415062,-118.2204122,2efad5c7-e983-4c5f-aecf-de10e66c1314
-118.219422000125,34.0352579995571,18,Coronel Village Apartments,935 South Boyle Ave,Los Angeles,CA,90023,34.035258,-118.219422,6e65559e-2749-43f1-b208-0bea429c6f54
-118.273633099788,34.0530739002403,19,Crescent Arms,1709 W. 8th Street,Los Angeles,CA,90017,34.0530739,-118.2736331,bdcf368b-a757-4d15-856a-463ff4d264db
-118.273156899771,34.0536271002106,20,Crescent Village Apartments,731 Beacon Ave.,Los Angeles,CA,90017,34.0536271,-118.2731569,3cedc057-4e09-49ed-b2cf-eb247f8fd86f
-118.274054200141,34.0537296004408,21,Crescent Village Apartments,746 S Burlington Ave.,Los Angeles,CA,90057,34.0537296,-118.2740542,fb068598-869c-4e26-b8ec-2bd9c869cfab
-118.274028000192,34.0534219999254,22,Crescent Village Apartments,1721 West 8th Street,Los Angeles,CA,90017,34.053422,-118.274028,1acd8910-8760-4fb0-92d2-7f667fd196e1
-118.273633099788,34.0530739002403,23,Cresent Arms,1709 W 8th Street #1124,Los Angeles,CA,90017,34.0530739,-118.2736331,5ae1b566-e474-4457-a5a6-91c13fdd83e0
-118.256825000074,34.0068550000582,24,Dunbar Village,4225 S. Central Ave,Los Angeles,CA,90011,34.006855,-118.256825,b4691aaa-051c-4484-8032-068f047a7cfe
-118.63151569999,34.2183345002371,25,Fairwinds - West Hills,8138 Woodlake Ave,West Hills,CA,91304,34.2183345,-118.6315157,41a813f7-598c-458b-b114-ef3ef2894c69
-118.455443900016,34.2017873999686,26,Fickett Towers,14801 Sherman Way,Van Nuys,CA,91405,34.2017874,-118.4554439,ff3104a4-4255-451d-bc25-6f82bd01616f
-118.283065999696,33.9700079996695,27,Figueroa Senior Apartments,7621 S. Figueroa Street,Los Angeles,CA,90003,33.970008,-118.283066,80c3e2c0-ccba-4c92-ad84-ed15d31bed2c
-118.289558999648,34.0481319996921,28,Freeman Villa,1229 S. Westmoreland Ave,Los Angeles,CA,90006,34.048132,-118.289559,b977f1ac-643a-44c0-b036-c4a609094de2
-118.289558999648,34.0481319996921,29,Freeman Villa Apartments,1229 Westmoreland Ave,Los Angeles,CA,90006,34.048132,-118.289559,da8862f5-cc62-4d6a-ae76-00133b89fb48
-118.203867999608,34.1011539995575,30,Glen Mary,4733 N Figueroa St,Highland Park,CA,90042,34.101154,-118.203868,c147c1f8-242f-4c95-af99-0fdc63491aa6
-118.307545900123,33.9585622002854,31,Harvard Glenmary,8711 S. Harvard Avenue,Los Angeles,CA,90047,33.9585622,-118.3075459,9534969e-22ee-4f34-9718-161e4eeac04d
-118.430334799711,34.2133486003577,32,Heritage Park at Woodman Senior Apts.,7840 Woodman Ave.,Panorama City,CA,91402,34.2133486,-118.4303348,95471318-02fe-4e2c-8119-c12524d8d0c2
-118.217458299861,34.0383531998403,33,Hollenbeck Terrace,610 S. St. Louis St,Los Angeles,CA,90023,34.0383532,-118.2174583,85caf11f-4370-4a8d-9acb-23c6761d1442
-118.32559999974,34.0946320000668,34,Hollywood Fountain North,6233 Fountain Ave.,Los Angeles,CA,90028,34.094632,-118.3256,8e4a1b0d-317f-4a21-86d7-06409782b990
-118.325260000249,34.0940039998848,35,Hollywood Fountain South Apartments,6222 Fountain Avenue,Los Angeles,CA,90028,34.094004,-118.32526,2a5249d6-9304-4456-897e-67acb427d25d
-118.44183230022,34.1657926996734,36,Horace Heidt Estates,14155 Magnolia Blvd,Sherman Oaks,CA,91423,34.1657927,-118.4418323,c83f0017-732b-42a4-bd17-0f1487fb7399
-118.311619300191,34.0331245000957,37,Independent Square,2455 South St. Andrews Place,Los Angeles,CA,90018,34.0331245,-118.3116193,013c8355-af71-45fc-9bf1-5fc3f3c59274
-118.276670999767,34.0642178997363,38,Knob Hill Apartments,2403 West 4th Street,Los Angeles,CA,90057,34.0642179,-118.276671,1bb55e5b-09b5-4ddd-b6a7-dbc3c60b1d54
-118.4665260999,34.2180231999108,39,La Coruna,15301 Lanark Street,Van Nuys,CA,91406,34.2180232,-118.4665261,15599932-1e4e-4d95-9132-b3b4a08b2d89
-118.43618,34.2803710003215,40,La Graciela,101 Park Ave,San Fernando,CA,91340,34.280371,-118.43618,c77660ef-9941-402d-bbd2-fd3c26e17e74
-118.281835600333,34.0943232996806,41,Laguna Senior Apartments,4201 W. Sunset Blvd.,Los Angeles,CA,90029,34.0943233,-118.2818356,d8a424e4-ed17-43cd-b5a4-f9143ebed680
