X,Y,OBJECTID,Business_Category,Business_Name,Address,City,Zip
-13202757.4184578,4051461.05798206,1,Adult Bookstore,A2Z Advocacy consulting,21777 W Ventura Boulevard,Woodland Hills,91364
-13202757.4184578,4051461.05798206,2,Adult Bookstore,A2Z educational Tutoring,21777 W Ventura Boulevard,Woodland Hills,91364
-13154313.7265297,4033303.89651754,3,Adult Bookstore,ABC TONY DONUTS,4555 E 3rd Street,Los Angeles,90022
-13169311.625994,4014275.71990289,4,Adult Bookstore,Black pearls united,1455 W Redondo Beach Boulevard,Gardena,90247
-13195393.6548793,4086184.97166985,5,Adult Bookstore,Dmga group,22960 Newhall Ranch Road,Santa Clarita,91350
-13200013.4062142,4088124.43772097,6,Adult Bookstore,Dmga group,28253 Newhall Ranch Road,Valencia,91355
-13190968.6360687,4085470.30678483,7,Adult Bookstore,FUN ZONE GIFTS                ,20615-17 SOLEDAD CYN RD   ,Canyon Country,91351
-13191013.6062994,4085512.14283274,8,Adult Bookstore,In Crowd Inc.,20615 Soledad Canyon Road,Canyon Country,91351
-13191028.128723,4085502.76300574,9,Adult Bookstore,In Crowd Inc.,20617 Soledad Canyon Road,Canyon Country,91351
-13182530.1301446,4062305.25284754,10,Adult Bookstore,Ruiz Demo & Excavating inc,9863 N Rincon Avenue,Pacoima,91331
-13153671.5675861,4031691.58014305,11,Adult Bookstore,The Society of St. Paul A Religious Corporation,5003 Whittier Boulevard,Los Angeles,90022
-13164120.6862078,4025442.4083121,12,Adult Cabaret,Am mini market and smoke shop,1133 E Florence Avenue,Los Angeles,90001
-13168979.8971832,4008753.39257732,13,Adult Cabaret,MIDNIGHT SUN ENTERPRISES INC,19900 Normandie Avenue,Torrance,90502
-13223449.3493872,4043535.35427244,14,Adult Cabaret,Test,30354 Mulholland Highway,Agoura Hills,91301
-13179139.1476476,4028980.02544795,15,Adult Theatre,DEVINE ENTERTAINMENT,10785 Northgate Street,Culver City,90230
-13176460.5933138,4055843.1062268,16,Air Ambulance (Aircraft) ,REACH AIR MEDICAL SERVICES    ,10676   SHERMAN WAY     ,BURBANK                ,91505
-13152405.5783066,4121863.14675745,17,Air Ambulance Operator ,AMR                           ,1055 W Avenue J ,Lancaster,93534
-13128782.5388464,4043230.09431068,18,Air Ambulance Operator ,"FIRST RESCUE AMBULANCE, INC.",15705 Arrow Highway,Irwindale,91706
-13188590.4087314,4057274.26535031,19,Ambulance Operator ,ALL TOWN AMBULANCE            ,7755   HASKELL AVE     ,VAN NUYS               ,91406
-13188590.4087314,4057274.26535031,20,Ambulance Operator ,ALL TOWN AMBULANCE LLC,7755 N Haskell Avenue,Van Nuys,91406
-13185644.9336149,4054543.82725209,21,Ambulance Operator ,AMBULIFE AMBULANCE,6644 1/2 N Van Nuys Boulevard,Van Nuys,91405
-13166752.7109702,4014656.40938205,22,Ambulance Operator ,AMBUSERVE,15105 S Broadway ,Gardena,90248
-13191620.5516135,4055873.31086248,23,Ambulance Operator ,AMERICAN PROFESSIONAL,16945 W Sherman Way,Van Nuys,91406
-13152405.5783066,4121863.14675745,24,Ambulance Operator ,AMR,1055 W Avenue J ,Lancaster,93534
-13182642.2982287,4056793.94601553,25,Ambulance Operator ,AMWEST AMBULANCE,13257 W Saticoy Street,North Hollywood,91605
-13148929.6145262,4117186.60604495,26,Ambulance Operator ,ANTELOPE AMBULANCE SERVICES,42540 N 6th Street,Lancaster,93535
-13140549.3379924,4035084.89743026,27,Ambulance Operator ,CAL-MED AMBULANCE,1557 Santa Anita Avenue,South El Monte,91733
,,28,Ambulance Operator ,CARE AMBULANCE SERVICE,1517 BRADEN Court,Orange,92868
-13173117.8586564,4054684.58247686,29,Ambulance Operator ,"CITYWIDE AMBULANCE, LLC       ",2019   N LINCOLN ST     ,BURBANK                ,91504
-13153617.7555486,4029778.28529106,30,Ambulance Operator ,"CITYWIDE AMBULANCE, LLC",2128 S ATLANTIC Boulevard,COMMERCE,90040
-13157310.2681711,4000492.01803846,31,Ambulance Operator ,COLLEGE COASTAL CARE,1745 Pacific Avenue,Long Beach,90813
,,32,Ambulance Operator ,DIBIASSI CORPORATION,1801 ORANGE TREE Lane,REDLANDS,92374
-13150851.3275062,4028825.14297329,33,Ambulance Operator ,EASTWESTPROTO INC,6605 E Washington Boulevard,Los Angeles,90040
,,34,Ambulance Operator ,EMERGENCY AMBULANCE SERVICE,3200 E BIRCH Street,Brea,92821
-13159321.0232367,4014843.34708483,35,Ambulance Operator ,EXPLORER-1 AMBULANCE & MEDICAL,1040 E COMPTON Boulevard,COMPTON,90221
-13169688.5784112,4009820.66399183,36,Ambulance Operator ,Fiesta Taxi-Elizabeth Hernandez,1515 W 190Th Street,Gardena,90248
,,37,Ambulance Operator ,FILYN CORPORATION,2950 E LA JOLLA Street,Anaheim,92806
