X,Y,OBJECTID,U_ID,Name,POI_type,open_,closed,Descrip,parking,restrooms,picnicking,information,wi_fi,litter_receptacle,pet_access,bench,overlook,agency,drinking_water,sup_dist,created_by,created_date,edited_by,edited_date,poi_phase,wheelchair_accessible,trail_name
6446000.84808337,1829073.76805842,5051,235,Overlook,Overlook,yes,no,,no,no,no,no,no,no,,no,yes,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Steps Trail
6449217.82739813,1828197.13323591,5052,236,Picnic Area,Picnicking,yes,no,,no,no,yes,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Olympic Forest Trail
6450120.38818026,1825124.91033702,5053,237,Picnic Area,Picnicking,yes,no,,no,no,yes,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Park to Playa Trail
6449808.10518986,1827806.50811556,5054,238,Picnic Area,Picnicking,yes,no,,no,no,yes,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Diane's Trail
6449842.82760859,1827474.47658498,5055,239,Picnic Area,Picnicking,yes,no,,no,no,yes,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Diane's Trail
6450422.2546867,1827650.2579077,5056,240,Overlook,Overlook,yes,no,,no,no,no,no,no,no,,no,yes,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,City View Trail
6450476.5081243,1827320.3968325,5057,241,Overlook,Overlook,yes,no,,no,no,no,no,no,no,,no,yes,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,City View Trail
6449866.69881267,1827971.43856999,5058,242,Overlook,Overlook,yes,no,,no,no,no,no,no,no,,no,yes,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,City View Trail
6451925.2399576,1823732.66639386,5059,243,Overlook,Overlook,yes,no,,no,no,no,no,no,no,,no,yes,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,La Brea Loop
6445108.52581638,1828423.78101656,5060,244,Restrooms,Restrooms,yes,no,,no,yes,no,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Park to Playa Trail
6445751.75542731,1828525.34363701,5061,245,Restrooms,Restrooms,yes,no,,no,yes,no,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Park to Playa Trail
6448875.70278065,1827566.70726554,5062,246,Restrooms,Restrooms,yes,no,,no,yes,no,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Japanese Garden Loop
6449788.64770614,1825713.49427531,5063,247,Restrooms,Restrooms,yes,no,,no,yes,no,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Park to Playa Trail
6449986.81034225,1824838.58085859,5064,248,Restrooms,Restrooms,yes,no,,no,yes,no,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Park to Playa Trail
6451956.60223688,1824953.98898486,5065,249,Restrooms,Restrooms,yes,no,,no,yes,no,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Park to Playa Trail
6453225.00530037,1822542.79086006,5066,250,Restrooms,Restrooms,yes,no,,no,yes,no,no,no,no,,no,no,MRCA/SMMC,,District 2,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Norman O Houston Park Trails
6630901.31850496,1869191.87151749,5067,251,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6630907.29485609,1869963.47359924,5068,252,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6630913.37459994,1869981.19138952,5069,253,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6630888.62507475,1870090.4600852,5070,254,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6634096.85570679,1872952.35618394,5071,255,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6635641.26970947,1873797.26856157,5072,256,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6644022.92965415,1880971.81196229,5073,257,Picnic Area,Picnicking,yes,no,,no,no,yes,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6644036.14562983,1880967.65831662,5074,258,Horse Tie,Horse Tie,yes,no,,no,no,no,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6644035.57701217,1880967.83691656,5075,259,Restrooms,Restrooms,yes,no,,no,yes,no,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6644037.49238838,1880967.23508708,5076,260,Shaded Rest Area,Picnicking,yes,no,,no,no,yes,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6642280.40421687,1879589.169219,5077,261,Picnic Area,Picnicking,yes,no,,no,no,yes,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marshall Canyon Trail
6522250.24981713,2018497.2188782,5078,262,Overlook,Overlook,yes,no,,no,no,no,no,no,no,,no,yes,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Palmdale Hills Trail
6523849.59432745,2018503.03751637,5079,263,Overlook,Overlook,yes,no,,no,no,no,no,no,no,,no,yes,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Palmdale Hills Trail
6501552.9722074,1994178.45644143,5080,264,Horse Tie,Horse Tie,yes,no,,no,no,no,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Darrell Readmond Trail
6501744.21292944,1994164.58659599,5081,265,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Darrell Readmond Trail
6515623.52190186,2007668.94148305,5082,266,Overlook,Overlook,yes,no,,no,no,no,no,no,no,,no,yes,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Vasquez Loop Trail
6420685.91415768,1959744.18530025,5083,267,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Manzanita Mountain Trail
6420650.30879997,1959623.36990023,5084,268,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Hillside Trail
6420628.06702122,1959598.70432025,5085,269,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Hillside Trail
6420488.13851781,1959392.34033815,5086,270,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Hillside Trail
6385451.18514627,1960653.75521627,5087,271,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Pico Canyon Trail
6385435.05202323,1960652.62871443,5088,272,Picnic Area,Picnicking,yes,no,,no,no,yes,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Pico Canyon Trail
6384942.60565136,1960326.9601581,5089,273,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Pico Canyon Trail
6384921.64597879,1960293.88097945,5090,274,Picnic Area,Picnicking,yes,no,,no,no,yes,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Pico Canyon Trail
6384778.34119495,1960257.16257326,5091,275,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Pico Canyon Trail
6425506.11807335,1952310.44115405,5092,276,Bench,Bench,yes,no,,no,no,no,no,no,no,,yes,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Pinetos Trail
6427599.35076636,1941305.19780134,5093,277,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Pinetos Trail
6502354.41240637,1903952.54856391,5094,278,Horse Tie,Horse Tie,yes,no,,no,no,no,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,La Canada Open Space Trail
6504090.69768747,1898863.07964572,5095,279,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Gould Canyon Trail
6504384.19836236,1898425.12961277,5096,280,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Gould Canyon Trail
6504625.31424053,1898174.25414974,5097,281,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Gould Canyon Trail
6505015.52448653,1897852.96899357,5098,282,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Gould Canyon Trail
6506586.4346302,1896852.58199008,5099,283,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Gould Canyon Trail
6428126.99812335,1960201.43539989,5100,284,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Pinetos Trail
6427834.73099886,1959682.74077671,5101,285,Restrooms,Restrooms,yes,no,,no,yes,no,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Pinetos Trail
6427618.11465154,1959497.74393414,5102,286,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Pinetos Trail
6427600.88326927,1959499.64626331,5103,287,Water Fountain,Drinking Water,yes,no,,no,no,no,no,no,no,,no,no,LACODPR,yes,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Pinetos Trail
6427081.41342575,1957093.13496621,5104,288,Overlook,Overlook,yes,no,,no,no,no,no,no,no,,no,yes,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Pinetos Trail
6522775.40164115,1896647.5158236,5105,289,Water Fountain,Drinking Water,yes,no,,no,no,no,no,no,no,,no,no,LACODPR,yes,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Altadena Crest Trail
6501852.97657398,1893637.70006154,5106,290,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Flint Canyon Trail
6556812.94980817,1860544.80220261,5107,291,Litter Receptacle,Litter Receptacle,yes,no,,no,no,no,no,no,yes,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Santa Anita Wash Trail
6612181.95733501,1855774.63661546,5108,292,Picnic Area,Picnicking,yes,no,,no,no,yes,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Antonovich Trail
6610408.6142027,1854675.1327061,5109,293,Horse Tie,Horse Tie,yes,no,,no,no,no,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Antonovich Trail
6626143.54262294,1852478.88676313,5110,294,Restrooms,Restrooms,yes,no,,no,yes,no,no,no,no,,no,no,LACODPR,,District 5,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Bonelli Trail
