OBJECTID,Name,Label,Category2,Category1,Category3,Organization,Address Line 1,Address Line 2,City,State,ZIP Code,Source,Source ID,Source Date,Display,Last Update,x,y
9316,"Chatsworth, California",Chatsworth,Amtrak Stations,Transportation,,National Transportation Atlas Database (NTAD) 2009 & LA County,10040 Old Depot Plaza Road,,Chatsworth,CA,91311,HSIP Freedom AmtrakStation,CWT,11/1/2010,Y,,6380752.32203664,1916489.24308515
9317,"Glendale, California",Glendale,Amtrak Stations,Transportation,,National Transportation Atlas Database (NTAD) 2009 & LA County,400 West Cerritos Avenue,Glendale Transportation Center,Glendale,CA,91204,HSIP Freedom AmtrakStation,GDL,11/1/2010,Y,,6483598.79908605,1867474.80568114
9318,"Long Beach, California",Long Beach,Amtrak Stations,Transportation,,National Transportation Atlas Database (NTAD) 2009 & LA County,601 North Long Beach Blvd.,Denny'S Restaurant,Long Beach,CA,90802-1323,HSIP Freedom AmtrakStation,LBC,11/1/2010,Y,,6504363.43964331,1740252.0571744
9319,"Long Beach (Queen Mary), California",Long Beach (Queen Mary),Amtrak Stations,Transportation,,National Transportation Atlas Database (NTAD) 2009 & LA County,1146 Queens Highway,Next To The Seasonal Catalina Ferry Terminal,Long Beach,CA,90802-6331,HSIP Freedom AmtrakStation,LBQ,11/1/2010,Y,,6504086.08980431,1731562.68839832
9320,"La Crescenta, California",La Crescenta,Amtrak Stations,Transportation,,National Transportation Atlas Database (NTAD) 2009 & LA County,Honolulu & Lowell Avenue,Near I-210,La Crescenta,CA,91214,HSIP Freedom AmtrakStation,LCA,11/1/2010,Y,,6481471.07827589,1906437.18871422
9321,"Lancaster, California",Lancaster,Amtrak Stations,Transportation,,National Transportation Atlas Database (NTAD) 2009 & LA County,44812 Sierra Highway,Metrolink Station,Lancaster,CA,93534-3218,HSIP Freedom AmtrakStation,LCS,11/1/2010,Y,,6520737.82881047,2075519.38302948
9322,"Littlerock, California",Littlerock,Amtrak Stations,Transportation,,National Transportation Atlas Database (NTAD) 2009 & LA County,7715 Pearblossom Hwy,Come & Save Market,Littlerock,CA,93543-3038,HSIP Freedom AmtrakStation,LTR,11/1/2010,Y,,6564099.58887155,2012196.15632972
9323,"Burbank (Airport), California",Burbank Airport,Amtrak Stations,Transportation,,National Transportation Atlas Database (NTAD) 2009 & LA County,3750 Empire Avenue,,Burbank,CA,91505,HSIP Freedom AmtrakStation,BUR,11/1/2010,Y,,6454043.24960147,1893110.04640532
9324,"Claremont, California",Claremont,Amtrak Stations,Transportation,,National Transportation Atlas Database (NTAD) 2009 & LA County,200 West First St.,Metrolink Station,Claremont,CA,91711,HSIP Freedom AmtrakStation,CLM,11/1/2010,Y,,6647802.7590633,1856902.85504031
9325,"Santa Clarita-Newhall, California",Santa Clarita-Newhall,Amtrak Stations,Transportation,,National Transportation Atlas Database (NTAD) 2009 & LA County,24300 Railroad Avenue,Metrolink Station,Santa Clarita,CA,91321-0000,HSIP Freedom AmtrakStation,NHL,11/1/2010,Y,,6402734.52413514,1960716.53816056
