OBJECTID,Latitude,Longitude,Name,Address,City,Zip Code,Site Accepts SNAP EBT,x,y
1,34.0327374843039,-118.292515994172,ADAMS/VERMONT CERTIFIED FARMERS' MARKET,1432 W ADAMS BLVD,LOS ANGELES,90007,Y,6473043.16632597,1834423.1542649
2,34.0510200474351,-118.217274122829,ADVENTIST WHITE MEMORIAL FARMERS' MARKET,1700 E CESAR E CHAVEZ AVE,LOS ANGELES,90033,Y,6495854.46387914,1841018.71390839
3,34.2002755732756,-118.157950501981,ALTADENA CERTIFIED FARMERS' MARKET,600 W PALM ST,ALTADENA,91001,Y,6513909.89036664,1895301.9636094
4,34.0042638809509,-118.330814378296,AFRICAN VILLAGE COMMUNITY MARKETPLACE,3333 43RD PLACE,LOS ANGELES,90043,,6461405.36906356,1824097.07189873
5,34.1177566189269,-118.260040497767,ATWATER VILLAGE CERTIFIED FARMERS' MARKET,3528 LARGA AVE,LOS ANGELES,90039,Y,6482962.68585697,1865336.09407932
6,33.8844152086369,-118.123846592314,BELLFLOWER CERTIFIED FARMERS' MARKET,16521 ADENMOOR AVE,BELLFLOWER,90706,Y,6524080.46976297,1780339.66630347
7,34.0931000340329,-118.128127765227,ALHAMBRA CERTIFIED FARMERS' MARKET,100 S 2ND ST,ALHAMBRA,91801,Y,6522877.85208946,1856286.01900364
8,33.9685285933697,-118.144046918258,BELL GARDENS FARMERS' MARKET,6662 LOVELAND ST,BELLGARDENS,90201,Y,6517993.14237072,1810958.56208657
9,34.647048,-118.165605988545,ANTELOPE VALLEY WINERY  FARMERS' MARKET,42041 20TH ST W ,LANCASTER,93534,,6511862.92234772,2057895.55508822
10,34.0763133132376,-118.396106976585,BEVERLY HILLS CERTIFIED FARMERS' MARKET,9300 CIVIC CENTER DR,BEVERLY HILLS,90210,Y,6441719.56001006,1850388.6302079
11,33.7661322131399,-118.168080932743,BIXBY PARK CERTIFIED FARMERS' MARKET PROGRAM,130 CHERRY AVE,LONG BEACH,90802,,6510582.50889805,1737312.92689781
12,34.0506060276531,-118.475169585697,BRENTWOOD VILLAGE CERTIFIED FARMERS' MARKET,741 S GRETNA GREEN WAY,LOS ANGELES,90049,Y,6417733.42622389,1841137.12180807
13,33.785091,-118.10803797331,CAL STATE LONG BEACH CERTIFIED FARMERS' MARKET,1401 PALO VERDE AVE,LONG BEACH,90815,Y,6528839.84574288,1744187.50041898
14,34.0532728707078,-118.252782714034,BUNKER HILL CERTIFIED FARMERS' MARKET,333 S HOPE ST,LOS ANGELES,90012,,6485100.41452114,1841863.70729715
15,34.183224,-118.306269,BURBANK CERTIFIED FARMERS' MARKET,E OLIVE AVE AND N GLENOAKS BLVD,BURBANK,91502,Y,6469043.12314497,1889200.17528807
16,34.239213,-118.5277815,CAL STATE NORTHRIDGE FARMERS' MARKET,18111 NORDHOFF ST,NORTHRIDGE,91330,Y,6402156.91341372,1909853.24388997
17,34.0621087423687,-118.416818691183,CENTURY CITY CERTIFIED FARMERS' MARKET,10100 SANTA MONICA BLVD,CENTURY CITY,90067,Y,6435426.15100896,1845244.7212044
18,34.0957649763497,-117.716462350759,CLAREMONT FARMERS' AND ARTISANS' MARKET,207 HARVARD AVE,CLAREMONT,91711,Y,6647512.55196655,1857352.19567706
19,34.1575842297597,-118.63848657297,CALABASAS CERTIFIED FARMERS' MARKET,23504 CALABASAS RD,CALABASAS,91302,Y,6368509.81338522,1880341.7609183
20,33.8689202956986,-118.062848995248,CERRITOS CERTIFIED FARMERS' MARKET,17870 PARK PLAZA DR,CERRITOS,90703,Y,6542590.9124008,1774683.50077856
21,34.0893752956986,-117.89010281607,COVINA CERTIFIED FARMERS' MARKET,400 N CITRUS AVE,COVINA,91723,Y,6594944.75618371,1854923.98596656
22,33.8744102956986,-118.20868800919,COMPTON COLLEGE FARMERS' MARKET,1111 E ARTESIA BLVD,COMPTON,90221,Y,6498321.89956105,1776741.23911715
23,34.00551,-118.256518972964,CENTRAL AVENUE FARMERS' MARKET,4301 S CENTRAL AVE,LOS ANGELES,90011,Y,6483924.31615156,1824484.77223881
24,33.9416543136009,-118.134354584842,DOWNEY CERTIFIED FARMERS' MARKET,11102 LA REINA AVE,DOWNEY,90241,Y,6520918.93081047,1801174.36840039
25,34.024392,-118.3941585,CULVER CITY CERTIFIED FARMERS' MARKET,MAIN ST AND CULVER BLVD,CULVER CITY,90232,Y,6442235.51042172,1831491.27823889
26,34.0578463296822,-117.751319452475,DOWNTOWN POMONA CERTIFIED FARMERS' MARKET,201 W 2ND ST,POMONA,91766,,6636993.58284706,1843524.98087747
27,34.1430005372505,-117.977617727454,DUARTE CERTIFIED FARMERS' MARKET,819 BUENA VISTA ST,DUARTE,91010,Y,6568442.85183856,1874421.76980557
28,34.0113020670846,-118.336005581799,CRENSHAW CERTIFIED FARMERS' MARKET,3650 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90008,Y,6459840.55920105,1826663.61532205
29,34.066206,-118.1683485,EAST LOS ANGELES CERTIFIED FARMERS' MARKET @ CAL STATE LA,5151 STATE UNIVERSITY DR,LOS ANGELES,90032,Y,6510684.07431172,1846516.74031389
30,34.1017224751286,-118.3087845,EAST HOLLYWOOD CERTIFIED FARMERS' MARKET,5448 HOLLYWOOD BLVD,LOS ANGELES,90027,Y,6468191.23147605,1859542.74247706
31,33.92046,-118.415941517284,EL SEGUNDO CERTIFIED FARMERS' MARKET,350 MAIN ST,EL SEGUNDO,90245,,6435478.5163898,1793695.13696781
32,34.183827,-118.514403,ENCINO CERTIFIED FARMERS' MARKET,17400 VICTORY BLVD,VAN NUYS,91406,Y,6406097.16504763,1889676.57984707
33,34.07724,-118.258461,ECHO PARK CERTIFIED FARMERS' MARKET,LOGAN ST AND SUNSET BLVD,LOS ANGELES,90026,Y,6483402.84606589,1850590.1514584
34,33.848732158203,-118.133774746697,FARMERS' MARKETPLACE OF LAKEWOOD,4990 CLARK AVE,LAKEWOOD,90712,,6521049.79898706,1767357.59909181
35,34.0752044681859,-118.039026904694,EL MONTE FARMERS' MARKET,10800 MAIN STREET,EL MONTE,91631,Y,6549851.86638281,1849751.05503948
36,34.0334881576834,-118.160621779907,EAST LOS ANGELES CERTIFIED FARMERS' MARKET,4801 E 3RD ST,LOS ANGELES,90022,Y,6513005.17235981,1834606.26577531
37,34.1581577740781,-118.255157425385,GLENDALE GATEWAY CERTIFIED FARMERS' MARKET,801 N BRAND BLVD,GLENDALE,91210,,6484477.98630406,1880034.98134814
