Sup Dist,Cost Code,Library Name,City,Zip Code,Square Footage,Year Built,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Collection Size,Address and Location,ObjectId
1,604,Anthony Quinn,Los Angeles,90063,7275,1973,11-8,11/8/2022 12:00:00 AM,11/6/2022 12:00:00 AM,11-6,11-5,11-5,Closed,48134,"3965 Cesar E. Chavez Ave.
Los Angeles
(34.0408, -118.18)",1
1,803,Baldwin Park,Baldwin Park,91706,15555,1969,Closed,12/8/2022 12:00:00 AM,1/8/2022 12:00:00 AM,1-8,10-5,10-5,Closed,64948,"4181 Baldwin Park Blvd.
Baldwin Park
(34.0881, -117.966)",2
1,630,Bell,Bell,90201,4863,1960,Closed,10/8/2022 12:00:00 AM,10/6/2022 12:00:00 AM,11-5,11-5,12-5,Closed,36396,"4411 E. Gage Ave.
Bell
(33.9783, -118.189)",3
1,631,Bell Gardens,Bell Gardens,90201,5119,1968,Closed,10/7/2022 12:00:00 AM,10/7/2022 12:00:00 AM,10-7,10-6,10-5,Closed,34771,"7110 S. Garfield Ave.
Bell Gardens
(33.9672, -118.151)",4
1,616,Chet Holifield,Montebello,90640,5500,1969,12-7,12/7/2022 12:00:00 AM,11/6/2022 12:00:00 AM,11-6,Closed,Closed,Closed,31346,"1060 S. Greenwood Ave.
Montebello
(33.9935, -118.12)",5
1,610,City Terrace,Los Angeles,90063,8007,1979,11-6,11/6/2022 12:00:00 AM,11/8/2022 12:00:00 AM,11-8,11-5,11-5,Closed,48350,"4025 E. City Terrace Dr.
Los Angeles
(34.0557, -118.178)",6
1,804,Claremont,Claremont,91711,22921,1971,1-8,1/8/2022 12:00:00 AM,11/8/2022 12:00:00 AM,11-8,10-5,10-5,1-5,124665,"208 N. Harvard Ave.
Claremont
(34.0959, -117.716)",7
1,632,Cudahy,Cudahy,90201,4396,1968,Closed,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-8,8-6,8-6,Closed,23081,"5218 Santa Ana St.
Cudahy
(33.9593, -118.175)",8
1,605,East Los Angeles,Los Angeles,90022,26300,2004,10-9,10/9/2022 12:00:00 AM,10/9/2022 12:00:00 AM,10-9,9-5,10-5,1-5,138790,"4837 E. Third St.
Los Angeles
(34.0337, -118.16)",9
1,609,El Camino Real,Los Angeles,90023,5500,1971,11-7,11/7/2022 12:00:00 AM,10/6/2022 12:00:00 AM,10-6,11-5,11-5,Closed,39949,"4264 E. Whittier Blvd.
Los Angeles
(34.0237, -118.178)",10
1,830,El Monte,El Monte,91731,11906,1961,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-8,9-5,10-5,1-5,53687,"3224 Tyler Ave.
El Monte
(34.0671, -118.036)",11
1,517,Hollydale,South Gate,90280,4800,1966,Closed,12/8/2022 12:00:00 AM,12/6/2022 12:00:00 AM,12-6,12-5,12-5,Closed,44781,"12000 S. Garfield Ave.
South Gate
(33.9177, -118.169)",12
1,633,Huntington Park,Huntington Park,90255,33482,1970,1-8,1/8/2022 12:00:00 AM,11/6/2022 12:00:00 AM,11-6,Closed,10-5,Closed,94437,"6518 Miles Ave.
Huntington Park
(33.9804, -118.219)",13
1,806,La Puente,La Puente,91744,10572,1968,Closed,1/8/2022 12:00:00 AM,1/8/2022 12:00:00 AM,10-5,10-5,10-5,Closed,54257,"15920 E. Central Ave.
La Puente
(34.0199, -117.951)",14
1,523,Leland R. Weaver,South Gate,90280,19461,1973,Closed,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-6,10-5,12-5,1-5,87931,"4035 Tweedy Blvd.
South Gate
(33.9441, -118.201)",15
1,635,Maywood Cesar Chavez,Maywood,90270,3362,1949,12-8,12/8/2022 12:00:00 AM,11/6/2022 12:00:00 AM,11-6,11-5,11-5,Closed,33645,"4323 E. Slauson Ave.
Maywood
(33.9876, -118.189)",16
1,601,Montebello,Montebello,90640,31097,1966,10-8,10/8/2022 12:00:00 AM,10/6/2022 12:00:00 AM,10-6,10-5,10-5,Closed,119976,"1550 W. Beverly Blvd.
Montebello
(34.0206, -118.116)",17
1,832,Norwood,El Monte,91732,10303,1977,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-8,9-5,10-5,Closed,61473,"4550 N. Peck Rd.
El Monte
(34.0868, -118.016)",18
1,636,Pico Rivera,Pico Rivera,90660,16000,2013,10-6,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,Closed,Closed,10-5,Closed,75188,"9001 Mines Ave.
Pico Rivera
(33.9921, -118.08)",19
1,637,Rivera,Pico Rivera,90660,6724,1969,10-6,12/8/2022 12:00:00 AM,12/8/2022 12:00:00 AM,12-6,Closed,Closed,Closed,39243,"7828 S. Serapis Ave.
Pico Rivera
(33.9689, -118.101)",20
1,624,Rosemead,Rosemead,91770,29860,1965,Closed,12/8/2022 12:00:00 AM,12/8/2022 12:00:00 AM,10-6,12-5,11-5,Closed,131822,"8800 Valley Blvd.
Rosemead
(34.0806, -118.078)",21
1,833,South El Monte,South El Monte,91733,6416,1966,Closed,1/8/2022 12:00:00 AM,10/5/2022 12:00:00 AM,1-8,10-5,10-5,Closed,31680,"1430 N. Central Ave.
South El Monte
(34.0449, -118.047)",22
1,810,Sunkist,La Puente,91746,8314,1977,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-8,10-6,10-5,Closed,57584,"840 N. Puente Ave.
La Puente
(34.055, -117.978)",23
1,809,Walnut,Walnut,91789,10000,1985,Closed,1/8/2022 12:00:00 AM,1/8/2022 12:00:00 AM,1-8,10-5,10-5,Closed,42464,"21155 La Puente Rd.
Walnut
(34.0261, -117.843)",24
1,801,West Covina,West Covina,91790,42345,1960,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,1-8,10-5,10-5,Closed,153194,"1601 West Covina Parkway
West Covina
(34.0707, -117.941)",25
2,530,A C Bilbrew,Los Angeles,90061,21843,1974,Closed,2/6/2022 12:00:00 AM,2/6/2022 12:00:00 AM,2-6,2-6,11-3,Closed,77306,"150 E. El Segundo Blvd.
Los Angeles
(33.9158, -118.272)",26
2,301,Carson,Carson,90745,33112,1972,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-8,10-6,10-5,1-5,139442,"151 E. Carson St.
Carson
(33.8321, -118.276)",27
2,531,Compton,Compton,90220,20542,1975,Closed,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-8,10-6,10-5,Closed,77457,"240 W. Compton Blvd.
Compton
(33.8955, -118.226)",28
